County,County,State,T_TTL_EST1,T_TTL_MOE1,T_5_17y_TTL_EST2,T_5_17y_TTL_MOE2,T_5_17y_SpOEng_TTL_EST3,T_5_17y_SpOEng_TTL_MOE3,T_5_17y_SpSpan_TTL_EST4,T_5_17y_SpSpan_TTL_MOE4,T_5_17y_SpSpan_SpEngVW_TTL_EST5,T_5_17y_SpSpan_SpEngVW_TTL_MOE5,T_5_17y_SpSpan_SpEngW_TTL_EST6,T_5_17y_SpSpan_SpEngW_TTL_MOE6,T_5_17y_SpSpan_SpEngNoW_TTL_EST7,T_5_17y_SpSpan_SpEngNoW_TTL_MOE7,T_5_17y_SpSpan_SpEngNoA_TTL_EST8,T_5_17y_SpSpan_SpEngNoA_TTL_MOE8,T_5_17y_SpOIEL_TTL_EST9,T_5_17y_SpOIEL_TTL_MOE9,T_5_17y_SpOIEL_SpEngVW_TTL_EST10,T_5_17y_SpOIEL_SpEngVW_TTL_MOE10,T_5_17y_SpOIEL_SpEngW_TTL_EST11,T_5_17y_SpOIEL_SpEngW_TTL_MOE11,T_5_17y_SpOIEL_SpEngNoW_TTL_EST12,T_5_17y_SpOIEL_SpEngNoW_TTL_MOE12,T_5_17y_SpOIEL_SpEngNoA_TTL_EST13,T_5_17y_SpOIEL_SpEngNoA_TTL_MOE13,T_5_17y_SpAPIL_TTL_EST14,T_5_17y_SpAPIL_TTL_MOE14,T_5_17y_SpAPIL_SpEngVW_TTL_EST15,T_5_17y_SpAPIL_SpEngVW_TTL_MOE15,T_5_17y_SpAPIL_SpEngW_TTL_EST16,T_5_17y_SpAPIL_SpEngW_TTL_MOE16,T_5_17y_SpAPIL_SpEngNoW_TTL_EST17,T_5_17y_SpAPIL_SpEngNoW_TTL_MOE17,T_5_17y_SpAPIL_SpEngNoA_TTL_EST18,T_5_17y_SpAPIL_SpEngNoA_TTL_MOE18,T_5_17y_SpOthL_TTL_EST19,T_5_17y_SpOthL_TTL_MOE19,T_5_17y_SpOthL_SpEngVW_TTL_EST20,T_5_17y_SpOthL_SpEngVW_TTL_MOE20,T_5_17y_SpOthL_SpEngW_TTL_EST21,T_5_17y_SpOthL_SpEngW_TTL_MOE21,T_5_17y_SpOthL_SpEngNoW_TTL_EST22,T_5_17y_SpOthL_SpEngNoW_TTL_MOE22,T_5_17y_SpOthL_SpEngNoA_TTL_EST23,T_5_17y_SpOthL_SpEngNoA_TTL_MOE23,T_18_64y_TTL_EST24,T_18_64y_TTL_MOE24,T_18_64y_SpOEng_TTL_EST25,T_18_64y_SpOEng_TTL_MOE25,T_18_64y_SpSpan_TTL_EST26,T_18_64y_SpSpan_TTL_MOE26,T_18_64y_SpSpan_SpEngVW_TTL_EST27,T_18_64y_SpSpan_SpEngVW_TTL_MOE27,T_18_64y_SpSpan_SpEngW_TTL_EST28,T_18_64y_SpSpan_SpEngW_TTL_MOE28,T_18_64y_SpSpan_SpEngNoW_TTL_EST29,T_18_64y_SpSpan_SpEngNoW_TTL_MOE29,T_18_64y_SpSpan_SpEngNoA_TTL_EST30,T_18_64y_SpSpan_SpEngNoA_TTL_MOE30,T_18_64y_SpOIEL_SpEngNoW_TTL_EST31,T_18_64y_SpOIEL_SpEngNoW_TTL_MOE31,T_18_64y_SpOIEL_SpEngVW_TTL_EST32,T_18_64y_SpOIEL_SpEngVW_TTL_MOE32,T_18_64y_SpOIEL_SpEngW_TTL_EST33,T_18_64y_SpOIEL_SpEngW_TTL_MOE33,T_18_64y_SpOIEL_SpEngNoW_TTL_EST34,T_18_64y_SpOIEL_SpEngNoW_TTL_MOE34,T_18_64y_SpOIEL_SpEngNoA_TTL_EST35,T_18_64y_SpOIEL_SpEngNoA_TTL_MOE35,T_18_64y_SpAPIL_TTL_EST36,T_18_64y_SpAPIL_TTL_MOE36,T_18_64y_SpAPIL_SpEngVW_TTL_EST37,T_18_64y_SpAPIL_SpEngVW_TTL_MOE37,T_18_64y_SpAPIL_SpEngW_TTL_EST38,T_18_64y_SpAPIL_SpEngW_TTL_MOE38,T_18_64y_SpAPIL_SpEngNoW_TTL_EST39,T_18_64y_SpAPIL_SpEngNoW_TTL_MOE39,T_18_64y_SpAPIL_SpEngNoA_TTL_EST40,T_18_64y_SpAPIL_SpEngNoA_TTL_MOE40,T_18_64y_SpOthL_TTL_EST41,T_18_64y_SpOthL_TTL_MOE41,T_18_64y_SpOthL_SpEngVW_TTL_EST42,T_18_64y_SpOthL_SpEngVW_TTL_MOE42,T_18_64y_SpOthL_SpEngW_TTL_EST43,T_18_64y_SpOthL_SpEngW_TTL_MOE43,T_18_64y_SpOthL_SpEngNoW_TTL_EST44,T_18_64y_SpOthL_SpEngNoW_TTL_MOE44,T_18_64y_SpOthL_SpEngNoA_TTL_EST45,T_18_64y_SpOthL_SpEngNoA_TTL_MOE45,T_65y_TTL_EST46,T_65y_TTL_MOE46,T_65y_SpOEng_TTL_EST47,T_65y_SpOEng_TTL_MOE47,T_65y_SpSpan_TTL_EST48,T_65y_SpSpan_TTL_MOE48,T_65y_SpSpan_SpEngVW_TTL_EST49,T_65y_SpSpan_SpEngVW_TTL_MOE49,T_65y_SpSpan_SpEngW_TTL_EST50,T_65y_SpSpan_SpEngW_TTL_MOE50,T_65y_SpSpan_SpEngNoW_TTL_EST51,T_65y_SpSpan_SpEngNoW_TTL_MOE51,T_65y_SpSpan_SpEngNoA_TTL_EST52,T_65y_SpSpan_SpEngNoA_TTL_MOE52,T_65y_SpOIEL_TTL_EST53,T_65y_SpOIEL_TTL_MOE53,T_65y_SpOIEL_SpEngVW_TTL_EST54,T_65y_SpOIEL_SpEngVW_TTL_MOE54,T_65y_SpOIEL_SpEngW_TTL_EST55,T_65y_SpOIEL_SpEngW_TTL_MOE55,T_65y_SpOIEL_SpEngNoW_TTL_EST56,T_65y_SpOIEL_SpEngNoW_TTL_MOE56,T_65y_SpOIEL_SpEngNoA_TTL_EST57,T_65y_SpOIEL_SpEngNoA_TTL_MOE57,T_65y_SpAPIL_TTL_EST58,T_65y_SpAPIL_TTL_MOE58,T_65y_SpAPIL_SpEngVW_TTL_EST59,T_65y_SpAPIL_SpEngVW_TTL_MOE59,T_65y_SpAPIL_SpEngW_TTL_EST60,T_65y_SpAPIL_SpEngW_TTL_MOE60,T_65y_SpAPIL_SpEngNoW_TTL_EST61,T_65y_SpAPIL_SpEngNoW_TTL_MOE61,T_65y_SpAPIL_SpEngNoA_TTL_EST62,T_65y_SpAPIL_SpEngNoA_TTL_MOE62,T_65y_SpOthL_TTL_EST63,T_65y_SpOthL_TTL_MOE63,T_65y_SpOthL_SpEngVW_TTL_EST64,T_65y_SpOthL_SpEngVW_TTL_MOE64,T_65y_SpOthL_SpEngW_TTL_EST65,T_65y_SpOthL_SpEngW_TTL_MOE65,T_65y_SpOthL_SpEngNoW_TTL_EST66,T_65y_SpOthL_SpEngNoW_TTL_MOE66,T_65y_SpOthL_SpEngNoA_TTL_EST67,T_65y_SpOthL_SpEngNoA_TTL_MOE67,GEOID,ANSICODE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
"DeKalb County, Georgia",DeKalb County, Georgia,41251,"±2,151",5149,±870,4590,±680,501,±490,482,±489,19,±33,0,±34,0,±34,24,±28,24,±28,0,±34,0,±34,0,±34,34,±42,34,±42,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,26019,"±1,565",25282,"±1,508",439,±220,396,±223,43,±41,0,±34,0,±34,263,±150,263,±150,0,±34,0,±34,0,±34,35,±63,35,±63,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,10083,±598,9912,±602,66,±50,54,±48,12,±18,0,±34,0,±34,105,±67,99,±67,6,±10,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,13089,1687424,693176061,8858826,267.637,3.42,33.770661,-84.226343
"DeKalb County, Illinois",DeKalb County, Illinois,8653,±847,1500,±413,1500,±413,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,5296,±569,5236,±560,58,±52,58,±52,0,±28,0,±28,0,±28,2,±3,0,±28,0,±28,2,±3,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,1857,±303,1857,±303,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,17037,422190,1635155509,8560429,631.337,3.305,41.894612,-88.768991
"Delaware County, Indiana",Delaware County, Indiana,11428,"±1,046",1768,±388,1752,±390,0,±29,0,±29,0,±29,0,±29,0,±29,16,±30,16,±30,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,6813,±727,6727,±714,12,±14,8,±13,0,±29,4,±5,0,±29,74,±79,74,±79,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,2847,±349,2834,±351,13,±21,13,±21,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,18035,450347,1015558819,9841207,392.109,3.8,40.227543,-85.399262
"Delaware County, Ohio",Delaware County, Ohio,25316,"±1,694",4269,±669,4239,±661,0,±29,0,±29,0,±29,0,±29,0,±29,30,±49,30,±49,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,15079,"±1,169",14849,"±1,158",95,±60,95,±60,0,±29,0,±29,0,±29,84,±63,84,±63,0,±29,0,±29,0,±29,51,±44,51,±44,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,5968,±530,5916,±524,19,±21,19,±21,0,±29,0,±29,0,±29,15,±16,15,±16,0,±29,0,±29,0,±29,18,±20,18,±20,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,0,±29,39041,1074033,1147743703,36698376,443.146,14.169,40.278941,-83.007462
"Delaware County, Pennsylvania",Delaware County, Pennsylvania,42722,"±1,859",5496,±725,5430,±726,10,±13,7,±12,3,±5,0,±27,0,±27,56,±46,56,±46,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,24631,"±1,149",24433,"±1,146",67,±67,55,±65,12,±18,0,±27,0,±27,120,±56,91,±49,4,±8,0,±27,25,±34,11,±16,11,±16,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,12595,±847,12541,±847,9,±16,9,±16,0,±27,0,±27,0,±27,45,±41,9,±11,15,±26,21,±32,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,0,±27,42045,1209177,476068778,17591835,183.811,6.792,39.916685,-75.398818
"Denton County, Texas",Denton County, Texas,85619,"±3,920",13555,"±1,614",13415,"±1,610",97,±75,97,±75,0,±34,0,±34,0,±34,2,±4,2,±4,0,±34,0,±34,0,±34,41,±45,25,±40,0,±34,16,±24,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,53775,"±2,701",52936,"±2,741",543,±149,516,±151,27,±29,0,±34,0,±34,166,±95,155,±92,11,±18,0,±34,0,±34,130,±118,130,±118,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,18289,"±1,099",18059,"±1,115",190,±148,190,±148,0,±34,0,±34,0,±34,40,±34,40,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,48121,1383847,2275809217,188980887,878.695,72.966,33.205132,-97.12114
"Denver County, Colorado",Denver County, Colorado,61274,"±2,194",5166,±665,4995,±666,106,±94,48,±44,58,±70,0,±30,0,±30,65,±46,65,±46,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,43940,"±1,738",42978,"±1,732",664,±219,598,±215,66,±54,0,±30,0,±30,246,±95,215,±89,31,±39,0,±30,0,±30,52,±44,52,±44,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,12168,±713,12025,±719,55,±44,52,±41,0,±30,3,±18,0,±30,79,±65,79,±65,0,±30,0,±30,0,±30,9,±19,9,±19,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,8031,198131,396460127,4275563,153.074,1.651,39.76185,-104.881105
"Deschutes County, Oregon",Deschutes County, Oregon,27130,"±1,741",3037,±511,2965,±496,42,±67,42,±67,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,30,±46,30,±46,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,14979,"±1,254",14786,"±1,250",147,±129,74,±62,0,±30,73,±115,0,±30,20,±32,20,±32,0,±30,0,±30,0,±30,26,±37,26,±37,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,9114,±773,8858,±705,227,±229,58,±52,8,±11,161,±220,0,±30,29,±26,29,±26,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,41017,1155130,7815575342,94725560,3017.611,36.574,43.915118,-121.225575
"DeSoto County, Mississippi",DeSoto County, Mississippi,14205,"±1,466",1996,±580,1964,±576,15,±23,0,±33,15,±23,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,17,±29,17,±29,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,8487,"±1,111",8431,"±1,109",33,±39,19,±28,14,±24,0,±33,0,±33,23,±32,23,±32,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,3722,±463,3675,±455,37,±42,12,±18,0,±33,25,±37,0,±33,10,±17,10,±17,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,28033,695741,1233730200,50234809,476.346,19.396,34.874922,-89.991211
"District of Columbia, District of Columbia",District of Columbia, District of Columbia,39476,"±1,848",3079,±488,2768,±461,233,±148,229,±146,4,±6,0,±33,0,±33,57,±63,57,±63,0,±33,0,±33,0,±33,21,±32,21,±32,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,30374,"±1,411",29302,"±1,372",573,±172,543,±172,30,±48,0,±33,0,±33,379,±124,368,±122,11,±18,0,±33,0,±33,72,±48,72,±48,0,±33,0,±33,0,±33,48,±46,48,±46,0,±33,0,±33,0,±33,6023,±683,5741,±657,117,±79,117,±79,0,±33,0,±33,0,±33,152,±103,152,±103,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,0,±33,13,±20,13,±20,0,±33,0,±33,0,±33,11001,1702382,158316184,18709787,61.126,7.224,38.904247,-77.016517
"Doña Ana County, New Mexico",Doña Ana County, New Mexico,11277,"±1,122",1224,±438,1224,±438,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,5704,±736,5564,±731,120,±80,105,±77,15,±23,0,±31,0,±31,20,±26,20,±26,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,4349,±464,4053,±475,224,±136,204,±133,0,±31,20,±35,0,±31,72,±121,72,±121,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,35013,929109,9863163862,17594250,3808.189,6.793,32.349919,-106.834968
"Dorchester County, South Carolina",Dorchester County, South Carolina,15524,"±1,469",2518,±533,2484,±524,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,34,±50,34,±50,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,9851,"±1,121",9809,"±1,118",0,±32,0,±32,0,±32,0,±32,0,±32,42,±39,42,±39,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,3155,±396,3127,±395,28,±34,28,±34,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,45035,1247998,1472353435,6778383,568.479,2.617,33.082186,-80.404697
"Douglas County, Colorado",Douglas County, Colorado,49354,"±2,376",9192,±899,9118,±900,19,±24,8,±15,11,±20,0,±30,0,±30,55,±60,55,±60,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,31026,"±1,680",30708,"±1,682",165,±93,159,±93,0,±30,6,±11,0,±30,120,±67,105,±59,15,±23,0,±30,0,±30,25,±26,18,±21,0,±30,7,±12,0,±30,8,±12,8,±12,0,±30,0,±30,0,±30,9136,±661,8949,±653,107,±65,107,±65,0,±30,0,±30,0,±30,80,±52,66,±48,0,±30,14,±21,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,8035,198133,2177889328,6795841,840.888,2.624,39.325414,-104.925987
"Douglas County, Georgia",Douglas County, Georgia,7081,"±1,063",1228,±415,1228,±415,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,4192,±856,4158,±852,0,±34,0,±34,0,±34,0,±34,0,±34,34,±40,34,±40,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,1661,±310,1661,±310,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,13097,1686467,518302400,2423527,200.118,0.936,33.701242,-84.767314
"Douglas County, Kansas",Douglas County, Kansas,14795,"±1,238",2258,±515,2258,±515,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,8957,±792,8864,±788,42,±41,42,±41,0,±26,0,±26,0,±26,44,±50,44,±50,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,7,±13,7,±13,0,±26,0,±26,0,±26,3580,±478,3570,±474,10,±15,10,±15,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,20045,484992,1180428103,48875040,455.766,18.871,38.896417,-95.290947
"Douglas County, Nebraska",Douglas County, Nebraska,44386,"±1,657",6662,±812,6595,±813,53,±46,36,±41,6,±10,11,±17,0,±23,14,±22,14,±22,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,27403,"±1,230",27121,"±1,230",203,±79,163,±73,23,±26,17,±19,0,±23,72,±38,54,±33,8,±12,10,±17,0,±23,7,±12,7,±12,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,10321,±634,10195,±632,58,±40,58,±40,0,±23,0,±23,0,±23,68,±45,68,±45,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,0,±23,31055,835849,845399893,33511554,326.411,12.939,41.297091,-96.154066
"Douglas County, Oregon",Douglas County, Oregon,14593,"±1,230",1841,±467,1826,±472,0,±30,0,±30,0,±30,0,±30,0,±30,15,±24,15,±24,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,6877,±734,6752,±728,94,±77,87,±75,0,±30,7,±13,0,±30,31,±44,31,±44,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,5875,±583,5845,±584,30,±37,30,±37,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,41019,1135849,13042338721,251961371,5035.675,97.283,43.286328,-123.154476
"DuPage County, Illinois",DuPage County, Illinois,53359,"±1,995",7654,±839,7558,±847,43,±51,43,±51,0,±28,0,±28,0,±28,53,±35,22,±26,18,±20,13,±20,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,32165,"±1,405",31594,"±1,362",330,±140,324,±139,0,±28,6,±10,0,±28,181,±73,172,±72,0,±28,9,±15,0,±28,60,±41,51,±39,9,±14,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,13540,±739,13367,±757,96,±92,96,±92,0,±28,0,±28,0,±28,77,±51,65,±46,0,±28,0,±28,12,±19,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,0,±28,17043,422191,849088844,22153880,327.835,8.554,41.852058,-88.086039
"Durham County, North Carolina",Durham County, North Carolina,28992,"±1,835",3208,±628,3197,±626,0,±31,0,±31,0,±31,0,±31,0,±31,11,±20,11,±20,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,19788,"±1,328",19512,"±1,356",224,±94,203,±92,21,±35,0,±31,0,±31,32,±31,32,±31,0,±31,0,±31,0,±31,20,±28,20,±28,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,5996,±670,5790,±639,47,±53,13,±20,0,±31,34,±50,0,±31,43,±61,43,±61,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,116,±182,116,±182,0,±31,0,±31,0,±31,37063,1008550,744736824,26723652,287.545,10.318,36.033828,-78.878125
"Dutchess County, New York",Dutchess County, New York,19869,"±1,236",2028,±344,1982,±344,35,±43,35,±43,0,±30,0,±30,0,±30,11,±17,11,±17,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,11998,±953,11612,±940,217,±129,180,±98,37,±45,0,±30,0,±30,105,±67,105,±67,0,±30,0,±30,0,±30,53,±88,53,±88,0,±30,0,±30,0,±30,11,±20,11,±20,0,±30,0,±30,0,±30,5843,±510,5724,±501,65,±46,61,±46,4,±6,0,±30,0,±30,46,±32,46,±32,0,±30,0,±30,0,±30,8,±13,8,±13,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,36027,974112,2060598611,76906718,795.602,29.694,41.754825,-73.740014
"Duval County, Florida",Duval County, Florida,65678,"±3,296",7700,±982,7472,±983,150,±100,102,±86,35,±39,13,±23,0,±34,23,±37,0,±34,23,±37,0,±34,0,±34,55,±85,55,±85,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,39398,"±2,664",38811,"±2,620",435,±185,381,±175,31,±40,23,±37,0,±34,105,±66,105,±66,0,±34,0,±34,0,±34,47,±55,47,±55,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,18580,"±1,039",18400,"±1,021",105,±65,105,±65,0,±34,0,±34,0,±34,67,±45,57,±41,10,±17,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,0,±34,8,±14,8,±14,0,±34,0,±34,0,±34,12031,293656,1975169547,403639669,762.617,155.846,30.335245,-81.648113
"East Baton Rouge Parish, Louisiana",East Baton Rouge Parish, Louisiana,25461,"±1,873",2913,±612,2848,±607,0,±32,0,±32,0,±32,0,±32,0,±32,65,±70,42,±39,23,±38,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,15135,"±1,371",14859,"±1,350",99,±62,49,±35,50,±55,0,±32,0,±32,151,±96,148,±95,3,±5,0,±32,0,±32,26,±30,26,±30,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,7413,±660,7360,±653,42,±48,42,±48,0,±32,0,±32,0,±32,11,±18,11,±18,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,0,±32,22033,558530,1179744890,38443657,455.502,14.843,30.54393,-91.093131
"Eaton County, Michigan",Eaton County, Michigan,14608,"±1,000",1739,±318,1739,±318,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,8359,±702,8236,±700,37,±30,24,±23,4,±5,9,±13,0,±26,24,±19,24,±19,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,62,±88,62,±88,0,±26,0,±26,0,±26,4510,±381,4390,±374,20,±19,13,±15,7,±11,0,±26,0,±26,85,±94,85,±94,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,0,±26,15,±25,15,±25,0,±26,0,±26,0,±26,26045,1622965,1489783241,10942073,575.209,4.225,42.58953,-84.84645
"El Dorado County, California",El Dorado County, California,23013,"±1,781",2749,±498,2736,±501,0,±31,0,±31,0,±31,0,±31,0,±31,13,±22,13,±22,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,12013,"±1,117",11796,"±1,084",158,±116,101,±100,0,±31,57,±60,0,±31,33,±38,19,±30,14,±23,0,±31,0,±31,26,±31,26,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,8251,±771,8181,±770,15,±22,15,±22,0,±31,0,±31,0,±31,41,±36,28,±27,13,±21,0,±31,0,±31,14,±24,14,±24,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,0,±31,6017,277273,4423288012,203364019,1707.841,78.519,38.785612,-120.534225
"El Paso County, Colorado",El Paso County, Colorado,75184,"±2,883",10807,"±1,076",10753,"±1,081",30,±32,30,±32,0,±30,0,±30,0,±30,9,±19,4,±9,0,±30,5,±17,0,±30,15,±28,15,±28,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,46336,"±2,015",45682,"±2,035",288,±129,226,±114,52,±56,10,±17,0,±30,296,±97,270,±95,26,±30,0,±30,0,±30,28,±35,28,±35,0,±30,0,±30,0,±30,42,±54,42,±54,0,±30,0,±30,0,±30,18041,"±1,052",17731,"±1,032",59,±53,46,±48,2,±4,11,±19,0,±30,251,±168,204,±151,47,±57,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,0,±30,8041,198135,5507386922,7070359,2126.414,2.73,38.827383,-104.527472
